crates/gneiss-rtk/src/engine/measurement.rs:27:44: replace += with *= in apply_windup_to_obs
crates/gneiss-rtk/src/engine/measurement.rs:67:9: replace EkfUpdates::push with ()
crates/gneiss-rtk/src/engine/measurement.rs:100:27: replace - with + in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:100:27: replace - with / in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:100:21: replace - with + in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:100:21: replace - with / in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:100:33: replace - with + in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:100:33: replace - with / in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:105:29: replace - with + in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:105:29: replace - with / in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:105:43: replace + with - in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:105:43: replace + with * in compute_pseudorange_update
crates/gneiss-rtk/src/engine/measurement.rs:115:5: replace compute_dd_pseudorange -> Vec<SingleUpdate> with vec![]
crates/gneiss-rtk/src/engine/measurement.rs:116:40: replace * with / in compute_dd_pseudorange
crates/gneiss-rtk/src/engine/measurement.rs:119:105: replace > with == in compute_dd_pseudorange
crates/gneiss-rtk/src/engine/measurement.rs:119:105: replace > with < in compute_dd_pseudorange
crates/gneiss-rtk/src/engine/measurement.rs:142:21: replace / with % in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:142:21: replace / with * in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:143:21: replace / with % in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:143:21: replace / with * in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:47: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:47: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:31: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:31: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:21: replace * with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:21: replace * with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:36: replace * with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:36: replace * with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:63: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:63: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:53: replace * with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:53: replace * with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:68: replace * with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:144:68: replace * with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:145:37: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:145:37: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:150:41: replace + with * in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:151:41: replace + with * in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:29: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:29: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:53: replace + with - in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:53: replace + with * in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:43: replace - with + in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:154:43: replace - with / in compute_carrier_phase_update
crates/gneiss-rtk/src/engine/measurement.rs:164:5: replace compute_dd_carrier_phase -> Vec<SingleUpdate> with vec![]
crates/gneiss-rtk/src/engine/measurement.rs:165:70: replace * with / in compute_dd_carrier_phase
crates/gneiss-rtk/src/engine/measurement.rs:191:5: replace compute_doppler_innovation -> f64 with 0.0
crates/gneiss-rtk/src/engine/measurement.rs:191:5: replace compute_doppler_innovation -> f64 with 1.0
crates/gneiss-rtk/src/engine/measurement.rs:191:5: replace compute_doppler_innovation -> f64 with -1.0
crates/gneiss-rtk/src/engine/measurement.rs:191:64: replace / with % in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:191:64: replace / with * in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:192:64: replace / with % in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:192:64: replace / with * in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:194:44: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:195:44: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:196:44: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:197:44: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:199:60: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:200:60: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:53: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:53: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:39: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:39: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:67: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:204:67: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:206:44: replace * with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:206:44: replace * with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:206:23: delete - in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:207:44: replace * with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:207:44: replace * with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:207:23: delete - in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:208:45: replace * with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:208:45: replace * with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:208:23: delete - in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:209:45: replace * with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:209:45: replace * with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:209:23: delete - in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:211:54: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:211:39: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:211:39: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:211:69: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:211:69: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:212:20: replace - with + in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:212:20: replace - with / in compute_doppler_innovation
crates/gneiss-rtk/src/engine/measurement.rs:222:5: replace compute_dd_doppler -> Option<SingleUpdate> with None
crates/gneiss-rtk/src/engine/measurement.rs:222:126: replace != with == in compute_dd_doppler
crates/gneiss-rtk/src/engine/measurement.rs:239:72: replace * with / in compute_dd_doppler
crates/gneiss-rtk/src/engine/measurement.rs:327:5: replace find_ephemeris -> Option<&'a gneiss_core::ephemeris::Ephemeris> with None
crates/gneiss-rtk/src/engine/measurement.rs:327:43: replace == with != in find_ephemeris
crates/gneiss-rtk/src/engine/measurement.rs:339:5: replace compute_innovations -> Option<EkfUpdates> with None
crates/gneiss-rtk/src/engine/measurement.rs:344:71: replace == with != in compute_innovations
crates/gneiss-rtk/src/engine/measurement.rs:344:98: replace == with != in compute_innovations
crates/gneiss-rtk/src/engine/measurement.rs:379:5: replace process_single_satellite_pair with ()
crates/gneiss-rtk/src/engine/measurement.rs:438:18: replace + with - in compute_dd_components
crates/gneiss-rtk/src/engine/measurement.rs:438:18: replace + with * in compute_dd_components
crates/gneiss-rtk/src/engine/measurement.rs:438:7: replace + with * in compute_dd_components
crates/gneiss-rtk/src/engine/measurement.rs:452:5: replace generate_measurement_updates with ()
crates/gneiss-rtk/src/engine/measurement.rs:457:78: replace && with || in generate_measurement_updates
crates/gneiss-rtk/src/engine/measurement.rs:457:71: replace == with != in generate_measurement_updates
crates/gneiss-rtk/src/engine/measurement.rs:457:83: replace == with != in generate_measurement_updates
